BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
3,1,Y,3,2,1345000,Good,1424,1741 SWANN STREET NW,Old City 2,Ward 2,NW
1,1,Y,3,3,899000,Good,827,1712 SEATON STREET NW,Old City 2,Ward 1,NW
1,0,N,3,2,715000,Fair,1760,2228 13TH STREET NW,Old City 2,Ward 1,NW
1,0,N,3,2,928000,Average,1125,1343 V STREET NW,Old City 2,Ward 1,NW
1,0,N,3,2,700000,Good,1125,1345 V STREET NW,Old City 2,Ward 1,NW
3,1,Y,4,2,1440000,Good,1891,1320 RIGGS STREET NW,Old City 2,Ward 2,NW
2,0,Y,3,2,1125000,Good,1423,1521 CAROLINE STREET NW,Old City 2,Ward 2,NW
4,0,Y,4,2,1200000,Good,895,1714 5TH STREET NW,Old City 2,Ward 6,NW
2,0,N,3,2,855000,Average,1549,1909 8TH STREET NW,Old City 2,Ward 1,NW
1,0,N,3,2,731940,Average,1635,1817 8TH STREET NW,Old City 2,Ward 1,NW
1,1,Y,2,2,825000,Average,453,718 RHODE ISLAND AVENUE NW,Old City 2,Ward 6,NW
3,1,Y,3,3,920000,Good,609,2129 13TH STREET NW,Old City 2,Ward 1,NW
3,1,Y,3,3,992000,Very Good,608,1220 W STREET NW,Old City 2,Ward 1,NW
2,1,Y,3,3,993000,Very Good,608,2108 12TH STREET NW,Old City 2,Ward 1,NW
3,1,N,3,3,1025000,Average,1827,917 S STREET NW,Old City 2,Ward 1,NW
2,1,Y,3,2,818000,Good,1538,1322 8TH STREET NW,Old City 2,Ward 6,NW
3,1,Y,3,2,1250000,Very Good,1063,1420 12TH STREET NW,Old City 2,Ward 2,NW
1,0,N,4,3,2285000,Average,1642,944 WESTMINSTER STREET NW,Old City 2,Ward 1,NW
1,0,N,2,2,529500,Average,572,1214 KIRBY STREET NW,Old City 2,Ward 6,NW
2,0,Y,2,3,765000,Good,506,1103 R STREET NW,Old City 2,Ward 2,NW
2,1,Y,2,2,1030000,Good,1333,1904 11TH STREET NW,Old City 2,Ward 1,NW
1,1,Y,3,2,780000,Average,1363,1257 CARROLLSBURG PLACE SW,Old City 1,Ward 6,SW
4,0,Y,3,3,2250000,Good,3200,1140 4TH STREET NW,Old City 2,Ward 6,NW
